Timestamp,pi-cluster,rpi1,rpi2,rpi3,rpi4
2026-02-11 01:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 01:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 02:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 02:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 03:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 03:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 04:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 04:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 05:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 05:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 06:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 06:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 07:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 07:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 10:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 10:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 11:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 11:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 12:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
